10000 50
0 10887 9384
1 16916 12778
2 18336 7794
3 493 5387
4 1422 16650
5 10028 2363
6 60 8691
7 13927 17764
8 3427 541
9 15737 9173
10 15369 5212
11 16430 2568
12 1531 5783
13 5124 2863
14 3136 14068
15 19803 13930
16 3059 14023
17 18168 13070
18 18457 1394
19 18043 15012
20 17374 16230
21 4920 4422
22 18538 13785
23 14325 15199
24 4371 18316
25 3527 6414
26 8981 16092
27 1874 19957
28 19171 6863
29 17282 6997
30 926 2306
31 16328 17085
32 6506 337
33 1730 10847
34 5858 1314
35 13896 16125
36 546 19583
37 13368 18815
38 10365 15435
39 13751 4044
40 6809 11088
41 7179 17277
42 13585 15789
43 2652 5404
44 12400 12755
45 15061 19933
46 13369 9677
47 10013 7740
48 18587 16227
49 17540 8095
50 571 796
51 379 11435
52 6602 17468
53 12903 10098
54 10493 13318
55 757 6653
56 281 17302
57 9442 4287
58 9690 13866
59 6620 8445
60 4730 18441
61 8118 18032
62 5772 18098
63 10676 14482
64 18928 710
65 17857 4568
66 12354 19498
67 16966 14587
68 4684 15307
69 8625 6220
70 12872 11529
71 8830 5733
72 10020 9504
73 3369 18271
74 6716 19709
75 18150 6341
76 724 7797
77 2246 2619
78 13452 2847
79 3556 12922
80 17489 12380
81 8229 17765
82 12351 9842
83 1501 5194
84 7765 17035
85 4915 10125
86 15857 16988
87 6492 13744
88 8366 2228
89 1937 9860
90 12552 11433
91 19229 16438
92 15408 13276
93 16122 1475
94 14396 8859
95 1238 16030
96 13794 8236
97 14429 5819
98 11012 6144
99 19530 15929
100 2405 18777
101 15764 4444
102 14539 14614
103 16841 18607
104 4819 2905
105 10689 15129
106 7918 17370
107 6997 9918
108 7744 3325
109 12184 19471
110 15500 18491
111 6726 9773
112 15591 5645
113 8140 17506
114 9787 2955
115 18083 7670
116 8465 8543
117 19508 10198
118 8805 19356
119 18612 16349
120 7829 13623
121 7344 9300
122 15569 15747
123 15423 14341
124 13811 3312
125 1802 7606
126 13731 5662
127 11306 4879
128 18737 9321
129 8627 19445
130 3466 8523
131 13417 6709
132 13259 8283
133 7638 12925
134 5625 2063
135 12037 2601
136 11900 13453
137 5551 19380
138 10072 7469
139 7132 974
140 4931 3882
141 5895 8934
142 10164 18661
143 7982 17200
144 12997 8900
145 13774 12960
146 19669 12814
147 1096 7191
148 16467 12927
149 11341 5085
150 7685 2091
151 15543 3377
152 19108 15937
153 19757 17446
154 18419 9180
155 9413 6888
156 12173 3349
157 2010 11660
158 5211 2337
159 7588 6343
160 19302 18207
161 7373 17714
162 1256 15322
163 4600 4820
164 9905 17722
165 19812 15940
166 15668 13941
167 6229 11706
168 9151 11128
169 16659 5985
170 9225 3921
171 7270 2423
172 14082 1397
173 85 5631
174 11973 19293
175 13851 7673
176 5386 7626
177 19300 1223
178 6043 6641
179 714 3899
180 16191 12299
181 2591 525
182 8582 8210
183 19337 8820
184 11156 17733
185 18005 15995
186 14770 380
187 1777 5274
188 7256 8851
189 8143 1861
190 5885 15580
191 3206 1994
192 19568 7622
193 10614 2505
194 2755 1962
195 14260 11327
196 8203 18945
197 3507 13203
198 2022 16785
199 10869 2843
200 15190 9529
201 9909 8873
202 10499 9959
203 18809 8037
204 6249 17754
205 13334 3304
206 1649 12134
207 19755 12891
208 11747 17568
209 19530 10369
210 18047 14501
211 9798 13789
212 6991 6250
213 3034 13304
214 12498 5364
215 14893 10254
216 19126 7687
217 13997 1153
218 9189 5976
219 3730 9158
220 12461 15437
221 3922 13415
222 6305 10461
223 8028 29
224 6749 18051
225 8903 7557
226 17698 4795
227 11044 18700
228 12003 1040
229 6404 10429
230 682 4501
231 8539 17648
232 15152 16160
233 2135 2536
234 11693 4340
235 16128 2216
236 15630 505
237 10965 50
238 16430 18286
239 16336 15344
240 2901 3178
241 7972 5239
242 290 16950
243 17989 15368
244 5796 12293
245 13145 744
246 18391 2830
247 15341 1683
248 570 13542
249 14233 13827
250 16043 12262
251 9118 10361
252 6762 8024
253 6310 82
254 15426 3191
255 6368 18997
256 4235 14678
257 11627 10691
258 6058 4525
259 13169 9615
260 10359 8206
261 7387 6313
262 4347 5101
263 14995 2727
264 16553 4917
265 13530 5579
266 12291 8947
267 16971 2648
268 19081 19052
269 18594 19632
270 18628 10858
271 1887 1313
272 8356 19215
273 91 13513
274 19480 14413
275 18970 9611
276 12275 6190
277 7642 6356
278 5434 16621
279 17889 18988
280 4567 18339
281 7285 7771
282 10418 16857
283 12261 607
284 238 5850
285 13060 7206
286 8519 15218
287 10784 14946
288 8459 16874
289 7638 10874
290 484 4290
291 10479 6608
292 9315 12758
293 5730 14472
294 13460 11101
295 9439 3619
296 11389 18026
297 11234 13075
298 13682 18158
299 359 3494
300 10700 10271
301 1840 13418
302 8364 15570
303 8795 12623
304 19848 13174
305 17463 16432
306 19391 16683
307 5792 4293
308 15116 5058
309 16158 11522
310 11492 8575
311 2952 1948
312 15022 19232
313 13741 10538
314 14031 5055
315 15326 14099
316 7517 1082
317 13003 13517
318 6140 12232
319 5405 1797
320 14581 2339
321 19022 19219
322 19863 13971
323 15380 4813
324 12686 14978
325 19905 11537
326 13484 4177
327 19760 19208
328 9745 4858
329 9912 13500
330 3951 128
331 17561 5237
332 15106 7819
333 50 10564
334 8712 1245
335 19935 1806
336 17376 3292
337 13615 18956
338 3769 13590
339 4919 8994
340 16883 12806
341 16983 4823
342 4031 6718
343 11575 13094
344 6594 10127
345 10254 1487
346 3075 10544
347 14714 7815
348 18378 18180
349 15776 14763
350 12920 7089
351 6733 15711
352 11018 10295
353 236 347
354 5692 11138
355 3944 5154
356 6329 2574
357 9292 926
358 14019 6711
359 16837 17218
360 15056 16964
361 3859 7091
362 14905 18131
363 12662 18572
364 9686 9634
365 13074 4790
366 16852 2605
367 9251 19806
368 16504 7869
369 19007 9486
370 14640 2196
371 1121 2950
372 227 968
373 7678 6764
374 3982 10597
375 7561 866
376 7956 19037
377 13519 7771
378 6343 19212
379 5197 2533
380 7322 12380
381 14985 18271
382 14428 4173
383 12041 4235
384 10073 7284
385 5831 7399
386 10348 1064
387 2031 6951
388 13715 10574
389 17523 6060
390 6925 14048
391 9436 5083
392 9205 11233
393 10444 2955
394 5487 11899
395 4279 15641
396 10263 9160
397 9684 19263
398 19849 1042
399 8325 1724
400 9123 6273
401 7336 14155
402 17458 15822
403 2748 9366
404 11777 11172
405 5219 270
406 1704 18702
407 9934 14654
408 13960 10908
409 2807 16729
410 8721 15798
411 1309 7085
412 2699 15335
413 16377 10992
414 12716 18899
415 5172 1053
416 11560 18190
417 14011 12507
418 18225 9017
419 16540 13110
420 13379 10001
421 5054 18110
422 9115 15082
423 5990 11339
424 8068 19427
425 15224 5148
426 12232 16788
427 12123 16533
428 3876 11282
429 10180 4851
430 2255 16591
431 11132 15351
432 7858 13814
433 19182 1495
434 14604 6082
435 12434 15721
436 10182 7983
437 19416 17488
438 8826 19297
439 18723 5405
440 10552 16893
441 10033 10298
442 3182 19135
443 10416 18507
444 19709 7058
445 20000 596
446 12298 1963
447 15777 7484
448 8978 155
449 2588 11310
450 3383 19933
451 4267 15022
452 8861 13564
453 9212 3683
454 9087 17686
455 10931 4286
456 14584 15991
457 11477 17315
458 15821 14117
459 17526 1893
460 18840 15529
461 17491 17526
462 1361 11137
463 7644 9619
464 929 10338
465 6622 6583
466 17956 4311
467 14226 10889
468 14571 6816
469 854 3438
470 7723 9
471 12351 11784
472 9098 18658
473 9127 3828
474 2072 1270
475 13150 6652
476 529 911
477 8399 10640
478 16611 1889
479 8578 12394
480 18977 13891
481 14553 15200
482 6088 16932
483 100 8778
484 8567 658
485 17018 953
486 12736 12642
487 11299 9369
488 13196 18185
489 15806 16777
490 3429 15267
491 12529 8955
492 19594 309
493 2198 17279
494 9673 12556
495 6446 10775
496 2326 5001
497 18284 998
498 6128 8413
499 5422 18383
500 19335 14694
501 7335 2440
502 8160 8422
503 2958 14986
504 11762 1355
505 12973 18763
506 7717 11542
507 11851 1853
508 15483 3663
509 16218 10400
510 1174 5155
511 6507 19016
512 16365 19852
513 8264 4791
514 3173 2492
515 13538 10038
516 8829 18860
517 7281 872
518 15857 16988
519 18342 6591
520 5353 3971
521 15512 7666
522 9518 13070
523 13084 7362
524 14113 1352
525 6507 9301
526 4668 11639
527 11490 9365
528 14155 1033
529 19876 16105
530 6142 13680
531 12539 13413
532 10637 14970
533 11957 16171
534 2761 2845
535 6815 6650
536 14315 4466
537 13887 2327
538 6040 184
539 1536 6970
540 12622 153
541 11791 4394
542 10110 17290
543 14674 19632
544 15736 4265
545 14296 14549
546 4314 1878
547 13199 6834
548 19356 14950
549 17794 5156
550 8157 18469
551 2934 961
552 3287 18824
553 15359 13172
554 141 5678
555 2182 13246
556 13991 12762
557 10051 10324
558 9955 4101
559 8365 1076
560 15625 2043
561 3920 2660
562 5845 16290
563 11239 13470
564 14977 1552
565 20 5384
566 6344 3134
567 1957 19305
568 12476 5982
569 8012 13667
570 6913 8968
571 1730 10193
572 16869 903
573 5003 8132
574 9208 3175
575 5217 9719
576 12378 1184
577 17473 5488
578 18958 14574
579 16126 5063
580 6798 13934
581 13419 12497
582 8154 13142
583 15475 11727
584 5394 16981
585 5949 3486
586 10031 12306
587 9560 4030
588 12161 6899
589 6425 14563
590 4281 17720
591 18903 11642
592 13481 13011
593 7584 12727
594 14141 8790
595 2724 3709
596 12558 939
597 10432 12494
598 4221 711
599 17691 5906
600 9392 9614
601 18271 3639
602 7668 19422
603 2672 7830
604 18744 16181
605 13900 9096
606 17089 3025
607 12387 9155
608 18233 10570
609 15711 19970
610 31 12374
611 9664 18434
612 7280 12588
613 9650 95
614 2352 11500
615 17465 7340
616 7331 11743
617 7516 12087
618 19916 11350
619 3882 10187
620 15635 15012
621 14388 14134
622 3288 12723
623 19644 6774
624 6743 1520
625 10245 15355
626 10140 3125
627 12064 16260
628 16354 17419
629 5270 1713
630 5405 18706
631 6800 2734
632 14820 12735
633 436 14316
634 854 11088
635 2451 670
636 14803 16488
637 5563 16838
638 3611 18090
639 15961 5206
640 16912 6705
641 9830 2558
642 18817 3404
643 822 1893
644 3606 11523
645 6580 2444
646 1529 5362
647 14448 13379
648 4046 12701
